t1_result,t2_result,t1p1_champion,t1p1_class,t1p2_champion,t1p2_class,t1p3_champion,t1p3_class,t1p4_champion,t1p4_class,t1p5_champion,t1p5_class,t2p1_champion,t2p1_class,t2p2_champion,t2p2_class,t2p3_champion,t2p3_class,t2p4_champion,t2p4_class,t2p5_champion,t2p5_class,t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
1,0,K'Sante,Tank-Warrior,Poppy,Tank-Warrior,Corki,Marksman,Jinx,Marksman,Tahm Kench,Tank-Support,Gwen,Warrior,Vi,Warrior,Akali,Assassin,Xayah,Marksman,Rakan,Support,44796,34528,0,0,3,0,0,0,7,7,1,1,23,6,694,628
1,0,K'Sante,Tank-Warrior,Rell,Tank-Support,Corki,Marksman,Lucian,Marksman,Milio,Support,Rumble,Mage-Warrior,Wukong,Warrior,Azir,Mage,Varus,Marksman,Leona,Tank,51606,34655,1,0,3,0,1,0,10,10,2,2,21,3,768,674
1,0,Jax,Warrior,Maokai,Tank,Akali,Assassin,Miss Fortune,Marksman,Nautilus,Tank-Support,K'Sante,Tank-Warrior,Vi,Warrior,Azir,Mage,Lucian,Marksman,Nami,Support,49988,34802,0,0,1,0,1,0,10,10,2,2,32,6,701,637
1,0,K'Sante,Tank-Warrior,Sejuani,Tank,Azir,Mage,Xayah,Marksman,Pyke,Support,Udyr,Warrior,Poppy,Tank-Warrior,Yone,Warrior,Aphelios,Marksman,Rell,Tank-Support,52117,35234,1,0,3,0,1,0,10,1,2,0,25,5,742,657
1,0,Udyr,Warrior,Viego,Warrior,Orianna,Mage,Kalista,Marksman,Rell,Tank-Support,K'Sante,Tank-Warrior,Lee Sin,Warrior-Assassin,LeBlanc,Mage-Assassin,Varus,Marksman,Alistar,Tank-Support,47973,35347,1,0,2,1,0,0,9,9,2,2,12,1,831,787
1,0,Aatrox,Warrior,Lillia,Mage,Yone,Warrior,Kalista,Marksman,Rell,Tank-Support,K'Sante,Tank-Warrior,Maokai,Tank,Tristana,Marksman,Draven,Marksman,Renata Glasc,Support,53636,35546,1,0,0,2,1,0,10,10,1,1,24,6,854,656
1,0,Jax,Warrior,Xin Zhao,Warrior,Akali,Assassin,Varus,Marksman,Blitzcrank,Support,K'Sante,Tank-Warrior,Jarvan IV,Tank-Warrior,Orianna,Mage,Aphelios,Marksman,Milio,Support,55129,35664,1,0,3,0,1,0,11,11,3,3,20,5,940,657
1,0,Gnar,Warrior,Xin Zhao,Warrior,Akali,Assassin,Aphelios,Marksman,Rakan,Support,Aatrox,Warrior,Poppy,Tank-Warrior,Neeko,Mage,Varus,Marksman,Rell,Tank-Support,50507,35702,1,0,3,0,1,0,11,0,2,0,18,5,764,694
1,0,Rumble,Mage-Warrior,Lee Sin,Warrior-Assassin,Orianna,Mage,Tahm Kench,Tank-Support,Senna,Marksman-Support,Aatrox,Warrior,Nocturne,Assassin,Akali,Assassin,Lucian,Marksman,Milio,Support,46698,35829,1,0,3,0,1,0,10,2,2,0,15,5,730,679
1,0,Darius,Tank-Warrior,Rell,Tank-Support,Azir,Mage,Senna,Marksman-Support,Nautilus,Tank-Support,Udyr,Warrior,Vi,Warrior,Corki,Marksman,Xayah,Marksman,Rakan,Support,45676,35837,1,0,1,2,0,0,8,8,1,1,14,6,755,722
1,0,Aatrox,Warrior,Vi,Warrior,Sylas,Mage-Warrior,Kalista,Marksman,Renata Glasc,Support,Jax,Warrior,Maokai,Tank,Corki,Marksman,Varus,Marksman,Pyke,Support,52535,35867,1,0,3,0,1,0,11,11,3,3,18,6,812,673
1,0,Gwen,Warrior,Vi,Warrior,Karma,Mage-Support,Senna,Marksman-Support,Nautilus,Tank-Support,K'Sante,Tank-Warrior,Sejuani,Tank,Azir,Mage,Miss Fortune,Marksman,Alistar,Tank-Support,48215,35885,1,0,1,0,1,0,11,11,3,3,15,0,780,758
1,0,Aatrox,Warrior,Rell,Tank-Support,Orianna,Mage,Kalista,Marksman,Maokai,Tank,K'Sante,Tank-Warrior,Viego,Warrior,Neeko,Mage,Miss Fortune,Marksman,Alistar,Tank-Support,51530,36002,1,0,1,2,1,0,10,10,2,2,19,3,826,717
1,0,Aatrox,Warrior,Zac,Tank-Warrior,Azir,Mage,Kalista,Marksman,Renata Glasc,Support,Gwen,Warrior,Maokai,Tank,Tristana,Marksman,Varus,Marksman,Senna,Marksman-Support,47946,36208,1,0,2,1,1,0,10,1,2,0,11,1,819,764
1,0,Rumble,Mage-Warrior,Maokai,Tank,Jayce,Warrior,Lucian,Marksman,Nami,Support,Tryndamere,Warrior,Sejuani,Tank,Yone,Warrior,Varus,Marksman,Rell,Tank-Support,48235,36524,0,0,2,0,1,0,9,9,1,1,19,5,825,708
1,0,Aatrox,Warrior,Sejuani,Tank,Neeko,Mage,Varus,Marksman,Nautilus,Tank-Support,K'Sante,Tank-Warrior,Trundle,Warrior,Sylas,Mage-Warrior,Lucian,Marksman,Milio,Support,47887,36563,1,0,2,1,0,0,7,7,1,1,17,3,812,766
1,0,Akali,Assassin,Maokai,Tank,Tristana,Marksman,Xayah,Marksman,Rakan,Support,Rumble,Mage-Warrior,Vi,Warrior,Jayce,Warrior,Kalista,Marksman,Renata Glasc,Support,51929,36727,1,0,3,0,1,0,11,11,2,2,16,7,880,728
1,0,Rumble,Mage-Warrior,Maokai,Tank,Tristana,Marksman,Xayah,Marksman,Nautilus,Tank-Support,Mordekaiser,Warrior,Xin Zhao,Warrior,LeBlanc,Mage-Assassin,Kai'Sa,Marksman,Alistar,Tank-Support,52883,36730,1,0,3,0,1,0,10,10,2,2,25,4,821,704
1,0,Darius,Tank-Warrior,Rell,Tank-Support,Azir,Mage,Kalista,Marksman,Renata Glasc,Support,Udyr,Warrior,Brand,Mage,Yone,Warrior,Xayah,Marksman,Rakan,Support,48884,37040,1,0,3,0,1,0,8,8,1,1,15,7,852,702
1,0,K'Sante,Tank-Warrior,Graves,Marksman,Orianna,Mage,Kalista,Marksman,Ashe,Marksman,Xayah,Marksman,Hecarim,Warrior,Yone,Warrior,Vayne,Marksman,Rakan,Support,49212,37099,1,0,3,0,0,0,10,10,2,2,17,3,725,751
1,0,Gnar,Warrior,Poppy,Tank-Warrior,Azir,Mage,Varus,Marksman,Nautilus,Tank-Support,K'Sante,Tank-Warrior,Sejuani,Tank,Sylas,Mage-Warrior,Lucian,Marksman,Milio,Support,49933,37225,1,0,1,2,1,0,9,9,1,1,17,6,805,708
1,0,Renekton,Warrior,Bel'Veth,Warrior,Neeko,Mage,Ziggs,Mage,Nautilus,Tank-Support,Aatrox,Warrior,Rell,Tank-Support,Orianna,Mage,Varus,Marksman,Braum,Tank-Support,54828,37343,1,0,1,2,1,0,11,0,3,0,20,5,859,799
1,0,Renekton,Warrior,Rell,Tank-Support,Azir,Mage,Lucian,Marksman,Milio,Support,K'Sante,Tank-Warrior,Poppy,Tank-Warrior,Corki,Marksman,Varus,Marksman,Renata Glasc,Support,51259,37349,1,0,1,1,0,1,11,11,3,3,16,7,833,703
1,0,Olaf,Warrior,Trundle,Warrior,Yone,Warrior,Seraphine,Mage-Support,Karma,Mage-Support,Ornn,Warrior,Xin Zhao,Warrior,Corki,Marksman,Yasuo,Warrior,Senna,Marksman-Support,48260,37526,0,0,2,2,1,0,9,0,1,0,13,5,850,768
1,0,Aatrox,Warrior,Sejuani,Tank,Sylas,Mage-Warrior,Jhin,Marksman,Ashe,Marksman,Jayce,Warrior,Rell,Tank-Support,Orianna,Mage,Varus,Marksman,Heimerdinger,Mage,49658,37641,1,0,2,0,0,1,9,1,2,0,18,4,779,754
1,0,K'Sante,Tank-Warrior,Vi,Warrior,Azir,Mage,Xayah,Marksman,Rakan,Support,Jax,Warrior,Rell,Tank-Support,Orianna,Mage,Varus,Marksman,Lissandra,Mage,53582,37653,1,0,4,0,0,0,10,10,2,2,25,3,847,768
1,0,Renekton,Warrior,Vi,Warrior,LeBlanc,Mage-Assassin,Varus,Marksman,Nautilus,Tank-Support,Gwen,Warrior,Wukong,Warrior,K'Sante,Tank-Warrior,Lucian,Marksman,Nami,Support,49344,37849,1,0,3,0,1,0,8,1,1,0,21,8,790,700
1,0,K'Sante,Tank-Warrior,Maokai,Tank,Neeko,Mage,Ezreal,Mage-Marksman,Alistar,Tank-Support,Gwen,Warrior,Vi,Warrior,Orianna,Mage,Kai'Sa,Marksman,Rell,Tank-Support,47820,37907,1,0,2,1,1,0,8,8,1,1,16,2,812,812
1,0,Rumble,Mage-Warrior,Brand,Mage,Tristana,Marksman,Kalista,Marksman,Nautilus,Tank-Support,K'Sante,Tank-Warrior,Maokai,Tank,Syndra,Mage,Varus,Marksman,Rell,Tank-Support,51271,38107,1,0,3,1,1,0,10,10,2,2,16,9,844,685
1,0,Rumble,Mage-Warrior,Vi,Warrior,Corki,Marksman,Kalista,Marksman,Nautilus,Tank-Support,Ornn,Warrior,Lillia,Mage,Yone,Warrior,Varus,Marksman,Rell,Tank-Support,52350,38187,1,0,4,0,0,1,8,8,1,1,17,5,890,774
1,0,Olaf,Warrior,Rell,Tank-Support,Taliyah,Mage,Lucian,Marksman,Milio,Support,Udyr,Warrior,Maokai,Tank,Tristana,Marksman,Aphelios,Marksman,Lulu,Support,48526,38211,1,0,2,1,1,0,7,3,1,0,17,6,854,719
1,0,K'Sante,Tank-Warrior,Vi,Warrior,Azir,Mage,Ezreal,Mage-Marksman,Bard,Support,Yone,Warrior,Maokai,Tank,Corki,Marksman,Varus,Marksman,Rakan,Support,54214,38275,1,0,1,2,0,1,10,10,2,2,23,5,842,725
1,0,K'Sante,Tank-Warrior,Maokai,Tank,Azir,Mage,Ezreal,Mage-Marksman,Bard,Support,Aatrox,Warrior,Rell,Tank-Support,Corki,Marksman,Lucian,Marksman,Milio,Support,47721,38387,1,0,3,0,1,0,8,8,1,1,16,3,797,811
1,0,K'Sante,Tank-Warrior,Viego,Warrior,Neeko,Mage,Lucian,Marksman,Milio,Support,Fiora,Warrior,Xin Zhao,Warrior,Orianna,Mage,Varus,Marksman,Nautilus,Tank-Support,49986,38405,1,0,2,1,1,0,8,8,1,1,18,4,836,751
1,0,Zac,Tank-Warrior,Bel'Veth,Warrior,Azir,Mage,Kalista,Marksman,Rell,Tank-Support,K'Sante,Tank-Warrior,Viego,Warrior,Neeko,Mage,Draven,Marksman,Renata Glasc,Support,46243,38432,1,0,2,1,1,0,11,11,2,2,9,6,778,709
1,0,Renekton,Warrior,Rell,Tank-Support,Azir,Mage,Ashe,Marksman,Renata Glasc,Support,K'Sante,Tank-Warrior,Wukong,Warrior,Orianna,Mage,Aphelios,Marksman,Milio,Support,47709,38452,0,0,0,2,1,0,8,8,1,1,11,4,844,817
1,0,Rumble,Mage-Warrior,Bel'Veth,Warrior,Neeko,Mage,Kalista,Marksman,Renata Glasc,Support,Akali,Assassin,Vi,Warrior,Orianna,Mage,Varus,Marksman,Senna,Marksman-Support,52635,38460,1,0,4,0,1,0,11,0,3,0,20,7,839,709
1,0,K'Sante,Tank-Warrior,Brand,Mage,Twisted Fate,Mage-Assassin,Senna,Marksman-Support,Nautilus,Tank-Support,Poppy,Tank-Warrior,Lillia,Mage,Ezreal,Mage-Marksman,Varus,Marksman,Maokai,Tank,52655,38679,1,0,2,1,1,0,8,8,1,1,20,4,818,803
1,0,Gnar,Warrior,Nocturne,Assassin,Neeko,Mage,Kalista,Marksman,Rakan,Support,K'Sante,Tank-Warrior,Poppy,Tank-Warrior,Orianna,Mage,Aphelios,Marksman,Tahm Kench,Tank-Support,52774,38772,1,0,2,1,1,0,8,1,1,0,20,7,899,756
1,0,K'Sante,Tank-Warrior,Poppy,Tank-Warrior,Orianna,Mage,Caitlyn,Marksman,Lux,Mage,Aatrox,Warrior,Jarvan IV,Tank-Warrior,Azir,Mage,Senna,Marksman-Support,Ornn,Warrior,48653,38807,0,0,2,1,1,0,9,9,1,1,11,7,867,732
1,0,K'Sante,Tank-Warrior,Maokai,Tank,Azir,Mage,Lucian,Marksman,Nami,Support,Rumble,Mage-Warrior,Sejuani,Tank,Jayce,Warrior,Aphelios,Marksman,Milio,Support,54713,38844,1,0,4,0,1,0,10,10,2,2,16,1,894,830
1,0,Rumble,Mage-Warrior,Lillia,Mage,Tristana,Marksman,Aphelios,Marksman,Renata Glasc,Support,Riven,Warrior,Rell,Tank-Support,Orianna,Mage,Kalista,Marksman,Nautilus,Tank-Support,54402,38860,1,0,2,1,1,0,9,1,1,0,29,9,761,717
1,0,Jax,Warrior,Kindred,Assassin,Neeko,Mage,Senna,Marksman-Support,Tahm Kench,Tank-Support,K'Sante,Tank-Warrior,Nocturne,Assassin,Orianna,Mage,Xayah,Marksman,Rakan,Support,52996,38870,1,0,4,0,0,0,11,11,2,2,15,6,839,733
1,0,Rumble,Mage-Warrior,Xin Zhao,Warrior,Karma,Mage-Support,Caitlyn,Marksman,Ashe,Marksman,Olaf,Warrior,Rell,Tank-Support,Neeko,Mage,Jhin,Marksman,Varus,Marksman,54858,38984,1,0,4,0,1,0,10,10,2,2,21,5,875,726
1,0,Rumble,Mage-Warrior,Xin Zhao,Warrior,Aurelion Sol,Mage,Senna,Marksman-Support,Nautilus,Tank-Support,Aatrox,Warrior,Vi,Warrior,Orianna,Mage,Xayah,Marksman,Rakan,Support,52985,38988,1,0,4,0,1,0,9,9,2,2,16,3,891,810
1,0,K'Sante,Tank-Warrior,Rell,Tank-Support,Azir,Mage,Ezreal,Mage-Marksman,Tahm Kench,Tank-Support,Rumble,Mage-Warrior,Maokai,Tank,Tristana,Marksman,Kalista,Marksman,Nautilus,Tank-Support,48160,39274,1,0,1,2,0,0,7,7,1,1,15,4,854,869
1,0,Jax,Warrior,Poppy,Tank-Warrior,Taliyah,Mage,Varus,Marksman,Renata Glasc,Support,Aatrox,Warrior,Rell,Tank-Support,LeBlanc,Mage-Assassin,Xayah,Marksman,Rakan,Support,52697,39312,1,0,2,1,0,0,11,11,3,3,17,5,874,774
1,0,K'Sante,Tank-Warrior,Xin Zhao,Warrior,Corki,Marksman,Ashe,Marksman,Nautilus,Tank-Support,Malphite,Tank,Jax,Warrior,Azir,Mage,Varus,Marksman,Rakan,Support,50950,39477,1,0,0,3,1,0,8,1,1,0,22,11,769,693
1,0,Darius,Tank-Warrior,Rell,Tank-Support,Azir,Mage,Sivir,Marksman,Ashe,Marksman,Udyr,Warrior,Vi,Warrior,Kassadin,Mage-Assassin,Jhin,Marksman,Alistar,Tank-Support,46475,39513,0,0,3,0,1,0,10,10,2,2,11,11,818,707
1,0,Zac,Tank-Warrior,Poppy,Tank-Warrior,Jayce,Warrior,Varus,Marksman,Hwei,Mage,Rumble,Mage-Warrior,Xin Zhao,Warrior,Neeko,Mage,Xayah,Marksman,Rakan,Support,53796,39560,1,0,3,0,1,0,9,9,2,2,22,4,890,819
1,0,K'Sante,Tank-Warrior,Jarvan IV,Tank-Warrior,Orianna,Mage,Lucian,Marksman,Milio,Support,Camille,Warrior,Xin Zhao,Warrior,Azir,Mage,Aphelios,Marksman,Lulu,Support,53456,39601,1,0,3,0,1,0,8,3,1,0,30,6,819,733
1,0,Gnar,Warrior,Maokai,Tank,Azir,Mage,Senna,Marksman-Support,Tahm Kench,Tank-Support,Olaf,Warrior,Xin Zhao,Warrior,Syndra,Mage,Seraphine,Mage-Support,Rell,Tank-Support,52669,39935,1,0,0,3,0,1,7,7,1,1,19,6,867,790
1,0,Renekton,Warrior,Xin Zhao,Warrior,Karma,Mage-Support,Varus,Marksman,Rakan,Support,Ornn,Warrior,Sejuani,Tank,Orianna,Mage,Aphelios,Marksman,Renata Glasc,Support,50955,39996,0,0,3,1,1,0,7,1,1,0,11,0,947,858
1,0,Gnar,Warrior,Brand,Mage,Tristana,Marksman,Ashe,Marksman,Rell,Tank-Support,Jax,Warrior,Maokai,Tank,Orianna,Mage,Varus,Marksman,Nautilus,Tank-Support,54038,39997,1,0,2,0,1,0,10,10,2,2,17,4,925,807
1,0,K'Sante,Tank-Warrior,Vi,Warrior,Hwei,Mage,Varus,Marksman,Rell,Tank-Support,Jax,Warrior,Ivern,Mage,Azir,Mage,Ashe,Marksman,Nautilus,Tank-Support,52929,40003,1,0,3,0,1,0,10,10,2,2,21,6,838,771
1,0,K'Sante,Tank-Warrior,Maokai,Tank,Akali,Assassin,Ezreal,Mage-Marksman,Ashe,Marksman,Jax,Warrior,Bel'Veth,Warrior,Neeko,Mage,Varus,Marksman,Bard,Support,51140,40210,1,0,1,3,1,0,10,10,1,1,19,8,797,769
1,0,K'Sante,Tank-Warrior,Viego,Warrior,Corki,Marksman,Ashe,Marksman,Renata Glasc,Support,Jax,Warrior,Xin Zhao,Warrior,Neeko,Mage,Draven,Marksman,Blitzcrank,Support,54130,40333,1,0,2,0,1,0,9,9,2,2,28,11,806,643
1,0,Irelia,Warrior,Trundle,Warrior,Ahri,Mage,Kalista,Marksman,Renata Glasc,Support,Aatrox,Warrior,Xin Zhao,Warrior,Syndra,Mage,Varus,Marksman,Xerath,Mage,54324,40431,1,0,3,0,1,0,10,10,2,2,26,10,846,670
1,0,Gnar,Warrior,Maokai,Tank,Orianna,Mage,Kalista,Marksman,Renata Glasc,Support,Udyr,Warrior,Wukong,Warrior,Azir,Mage,Varus,Marksman,Milio,Support,57551,40506,1,0,4,0,1,0,11,11,3,3,20,2,983,833
1,0,Rumble,Mage-Warrior,Vi,Warrior,Akali,Assassin,Lucian,Marksman,Nami,Support,Udyr,Warrior,Xin Zhao,Warrior,Orianna,Mage,Aphelios,Marksman,Milio,Support,56067,40506,1,0,4,0,1,0,10,1,2,0,22,5,869,817
1,0,Aatrox,Warrior,Maokai,Tank,Syndra,Mage,Xayah,Marksman,Rakan,Support,K'Sante,Tank-Warrior,Ivern,Mage,Tristana,Marksman,Kalista,Marksman,Renata Glasc,Support,51626,40542,1,0,2,1,1,0,9,1,2,0,11,3,979,867
1,0,K'Sante,Tank-Warrior,Brand,Mage,LeBlanc,Mage-Assassin,Varus,Marksman,Ashe,Marksman,Udyr,Warrior,Xin Zhao,Warrior,Azir,Mage,Kalista,Marksman,Nautilus,Tank-Support,56979,40549,1,0,2,1,0,0,10,1,2,0,17,3,985,879
1,0,Udyr,Warrior,Nocturne,Assassin,Neeko,Mage,Caitlyn,Marksman,Bard,Support,K'Sante,Tank-Warrior,Wukong,Warrior,Orianna,Mage,Varus,Marksman,Alistar,Tank-Support,57094,40577,1,0,2,1,1,0,9,9,2,2,22,6,914,798
1,0,Vladimir,Mage-Warrior,Xin Zhao,Warrior,LeBlanc,Mage-Assassin,Varus,Marksman,Ashe,Marksman,Jax,Warrior,Rengar,Assassin,Syndra,Mage,Aphelios,Marksman,Pyke,Support,53513,40584,1,0,4,0,1,0,9,1,2,0,22,11,866,766
1,0,Yone,Warrior,Rell,Tank-Support,Orianna,Mage,Lucian,Marksman,Milio,Support,Aatrox,Warrior,Sejuani,Tank,Hwei,Mage,Varus,Marksman,Lulu,Support,58298,40792,1,0,2,1,1,0,11,0,3,0,21,5,948,804
1,0,Aatrox,Warrior,Maokai,Tank,Corki,Marksman,Caitlyn,Marksman,Lux,Mage,Zac,Tank-Warrior,Xin Zhao,Warrior,Azir,Mage,Senna,Marksman-Support,Nautilus,Tank-Support,56777,40816,1,0,3,0,1,0,11,11,2,2,23,6,929,810
1,0,Jax,Warrior,Maokai,Tank,Yone,Warrior,Lucian,Marksman,Nami,Support,Gragas,Mage-Warrior,Xin Zhao,Warrior,Azir,Mage,Aphelios,Marksman,Milio,Support,53658,40869,1,0,1,2,0,1,11,11,3,3,12,5,954,824
1,0,Rumble,Mage-Warrior,Vi,Warrior,Ahri,Mage,Varus,Marksman,Nautilus,Tank-Support,Udyr,Warrior,Poppy,Tank-Warrior,Orianna,Mage,Lucian,Marksman,Milio,Support,55073,40916,1,0,1,2,0,0,9,9,1,1,23,8,856,755
1,0,Rumble,Mage-Warrior,Vi,Warrior,Corki,Marksman,Kalista,Marksman,Nautilus,Tank-Support,Sion,Warrior,Rell,Tank-Support,Sylas,Mage-Warrior,Caitlyn,Marksman,Ashe,Marksman,55578,40935,1,0,4,0,0,1,8,8,1,1,23,3,851,747
1,0,K'Sante,Tank-Warrior,Rell,Tank-Support,Azir,Mage,Jhin,Marksman,Ashe,Marksman,Kennen,Mage,Sejuani,Tank,Tristana,Marksman,Aphelios,Marksman,Milio,Support,53928,40953,1,0,4,0,0,1,10,10,1,1,17,4,921,818
1,0,Udyr,Warrior,Jarvan IV,Tank-Warrior,Neeko,Mage,Lucian,Marksman,Milio,Support,Rumble,Mage-Warrior,Xin Zhao,Warrior,Orianna,Mage,Zeri,Marksman,Lulu,Support,56516,41166,1,0,2,1,0,0,11,11,3,3,16,6,884,793
1,0,K'Sante,Tank-Warrior,Brand,Mage,Yasuo,Warrior,Ashe,Marksman,Maokai,Tank,Garen,Tank-Warrior,Xin Zhao,Warrior,Orianna,Mage,Kai'Sa,Marksman,Rell,Tank-Support,56248,41203,1,0,3,1,1,0,9,9,1,1,27,10,865,751
1,0,K'Sante,Tank-Warrior,Xin Zhao,Warrior,Neeko,Mage,Varus,Marksman,Ashe,Marksman,Aatrox,Warrior,Rell,Tank-Support,Corki,Marksman,Ezreal,Mage-Marksman,Nautilus,Tank-Support,53985,41243,1,0,1,2,1,0,10,10,2,2,24,9,787,793
1,0,K'Sante,Tank-Warrior,Xin Zhao,Warrior,Orianna,Mage,Jinx,Marksman,Rell,Tank-Support,Gwen,Warrior,Lee Sin,Warrior-Assassin,Neeko,Mage,Varus,Marksman,Ashe,Marksman,52711,41375,1,0,1,3,0,1,10,2,2,0,17,6,867,807
1,0,Gnar,Warrior,Viego,Warrior,Orianna,Mage,Ashe,Marksman,Rakan,Support,K'Sante,Tank-Warrior,Xin Zhao,Warrior,Azir,Mage,Jhin,Marksman,Bard,Support,51689,41429,0,0,3,1,1,0,8,8,1,1,17,3,910,870
1,0,Darius,Tank-Warrior,Sejuani,Tank,Azir,Mage,Senna,Marksman-Support,Tahm Kench,Tank-Support,Rumble,Mage-Warrior,Maokai,Tank,Tristana,Marksman,Varus,Marksman,Blitzcrank,Support,54575,41475,0,0,1,2,0,0,11,11,2,2,26,11,811,679
1,0,Aatrox,Warrior,Rell,Tank-Support,LeBlanc,Mage-Assassin,Lucian,Marksman,Nami,Support,Jax,Warrior,Wukong,Warrior,Orianna,Mage,Aphelios,Marksman,Milio,Support,51715,41488,1,0,2,1,0,1,8,8,1,1,15,3,1005,866
1,0,Zac,Tank-Warrior,Xin Zhao,Warrior,Azir,Mage,Kalista,Marksman,Rumble,Mage-Warrior,K'Sante,Tank-Warrior,Viego,Warrior,Taliyah,Mage,Aphelios,Marksman,Milio,Support,53925,41494,1,0,4,0,1,0,9,9,1,1,23,8,805,715
1,0,Jax,Warrior,Jarvan IV,Tank-Warrior,Akali,Assassin,Lucian,Marksman,Nami,Support,Renekton,Warrior,Sejuani,Tank,Neeko,Mage,Zeri,Marksman,Milio,Support,55756,41604,1,0,3,1,0,0,8,0,1,0,17,3,987,904
1,0,K'Sante,Tank-Warrior,Rell,Tank-Support,Orianna,Mage,Aphelios,Marksman,Nautilus,Tank-Support,Gragas,Mage-Warrior,Nocturne,Assassin,Azir,Mage,Lucian,Marksman,Milio,Support,50840,41802,1,0,4,0,1,0,8,1,2,0,13,2,929,897
1,0,Ornn,Warrior,Maokai,Tank,Azir,Mage,Kalista,Marksman,Pyke,Support,Rumble,Mage-Warrior,Sejuani,Tank,Tristana,Marksman,Xayah,Marksman,Nautilus,Tank-Support,58207,41807,1,0,2,2,1,0,11,11,3,3,20,5,931,860
1,0,Gwen,Warrior,Xin Zhao,Warrior,LeBlanc,Mage-Assassin,Aphelios,Marksman,Renata Glasc,Support,Gragas,Mage-Warrior,Vi,Warrior,Ryze,Mage,Lucian,Marksman,Nami,Support,59194,41825,2,0,3,0,1,0,11,0,3,0,17,1,975,930
